,state,year,quarter,district,count,amount,registeredUsers,appOpens,date,hdi,population
0,Andaman and Nicobar,2019,3,north and middle andaman district,4049,11481466.283356793,2662,22064,2019-01-01,0.741,399001
1,Andaman and Nicobar,2019,3,south andaman district,27421,91023888.32848613,20518,138190,2019-01-01,0.741,399001
2,Andaman and Nicobar,2019,3,nicobars district,2300,11566421.475451011,751,10853,2019-01-01,0.741,399001
3,Andaman and Nicobar,2019,2,north and middle andaman district,3371,8612103.137888122,2417,6118,2019-01-01,0.741,399001
4,Andaman and Nicobar,2019,2,south andaman district,28490,102530955.71341258,18621,43569,2019-01-01,0.741,399001
5,Andaman and Nicobar,2019,2,nicobars district,1828,9111650.82436246,693,2953,2019-01-01,0.741,399001
6,Andaman and Nicobar,2019,1,north and middle andaman district,3264,9561708.736298349,2013,0,2019-01-01,0.741,399001
7,Andaman and Nicobar,2019,1,south andaman district,25683,85501972.38780196,15961,0,2019-01-01,0.741,399001
8,Andaman and Nicobar,2019,1,nicobars district,1539,7236059.549389593,622,0,2019-01-01,0.741,399001
9,Andaman and Nicobar,2019,4,north and middle andaman district,4716,13524056.784573946,2955,26253,2019-01-01,0.741,399001
10,Andaman and Nicobar,2019,4,south andaman district,27843,110930312.20611623,22202,139646,2019-01-01,0.741,399001
11,Andaman and Nicobar,2019,4,nicobars district,2600,12384161.52668771,803,11113,2019-01-01,0.741,399001
12,Andaman and Nicobar,2021,3,north and middle andaman district,46592,118254865.82750683,9263,759314,2021-01-01,0.741,399001
13,Andaman and Nicobar,2021,3,south andaman district,382418,1116789010.6459613,55873,1771107,2021-01-01,0.741,399001
14,Andaman and Nicobar,2021,3,nicobars district,20754,74980519.3281361,1846,591204,2021-01-01,0.741,399001
15,Andaman and Nicobar,2021,2,north and middle andaman district,39200,90233388.79463302,8493,596182,2021-01-01,0.741,399001
16,Andaman and Nicobar,2021,2,south andaman district,286907,760893020.5704944,51903,1270226,2021-01-01,0.741,399001
17,Andaman and Nicobar,2021,2,nicobars district,15307,48020606.74716837,1699,381815,2021-01-01,0.741,399001
18,Andaman and Nicobar,2021,1,north and middle andaman district,27358,75027255.27919498,7833,121680,2021-01-01,0.741,399001
19,Andaman and Nicobar,2021,1,south andaman district,207092,669604045.1248703,48352,837589,2021-01-01,0.741,399001
20,Andaman and Nicobar,2021,1,nicobars district,10302,39075266.9856904,1573,45067,2021-01-01,0.741,399001
21,Andaman and Nicobar,2021,4,north and middle andaman district,53115,156486112.28732437,10002,171921,2021-01-01,0.741,399001
22,Andaman and Nicobar,2021,4,south andaman district,558571,1694794708.0093334,59807,1863037,2021-01-01,0.741,399001
23,Andaman and Nicobar,2021,4,nicobars district,24437,81329281.0269996,1971,77952,2021-01-01,0.741,399001
24,Andaman and Nicobar,2018,3,north and middle andaman district,1283,4901529.518499676,1208,0,2018-01-01,0.741,399001
25,Andaman and Nicobar,2018,3,south andaman district,13511,44268112.46425246,10474,0,2018-01-01,0.741,399001
26,Andaman and Nicobar,2018,3,nicobars district,1471,6387829.151558982,467,0,2018-01-01,0.741,399001
27,Andaman and Nicobar,2018,2,north and middle andaman district,825,1317863.0834906558,911,0,2018-01-01,0.741,399001
28,Andaman and Nicobar,2018,2,south andaman district,9395,23948235.51634325,8143,0,2018-01-01,0.741,399001
29,Andaman and Nicobar,2018,2,nicobars district,1120,3072436.9081196385,351,0,2018-01-01,0.741,399001
30,Andaman and Nicobar,2018,1,north and middle andaman district,442,931663.0770939873,632,0,2018-01-01,0.741,399001
31,Andaman and Nicobar,2018,1,south andaman district,5688,12560249.34366581,5846,0,2018-01-01,0.741,399001
32,Andaman and Nicobar,2018,1,nicobars district,528,1139848.801225994,262,0,2018-01-01,0.741,399001
33,Andaman and Nicobar,2018,4,north and middle andaman district,2137,7955635.917688001,1553,0,2018-01-01,0.741,399001
34,Andaman and Nicobar,2018,4,south andaman district,20136,75411840.8018554,13133,0,2018-01-01,0.741,399001
35,Andaman and Nicobar,2018,4,nicobars district,1485,7180859.354911782,536,0,2018-01-01,0.741,399001
36,Andaman and Nicobar,2020,3,north and middle andaman district,16747,33486883.370425556,5355,76553,2020-01-01,0.741,399001
37,Andaman and Nicobar,2020,3,south andaman district,95323,282366109.20523936,34833,417785,2020-01-01,0.741,399001
38,Andaman and Nicobar,2020,3,nicobars district,5413,22166453.754695386,1147,21227,2020-01-01,0.741,399001
39,Andaman and Nicobar,2020,2,north and middle andaman district,10979,22447714.061058953,4100,56992,2020-01-01,0.741,399001
40,Andaman and Nicobar,2020,2,south andaman district,48088,132855778.74838585,27626,231071,2020-01-01,0.741,399001
41,Andaman and Nicobar,2020,2,nicobars district,3895,14341508.60470232,984,17009,2020-01-01,0.741,399001
42,Andaman and Nicobar,2020,1,north and middle andaman district,5674,14697371.617857102,3315,30444,2020-01-01,0.741,399001
43,Andaman and Nicobar,2020,1,south andaman district,32713,134679396.90582755,24174,151529,2020-01-01,0.741,399001
44,Andaman and Nicobar,2020,1,nicobars district,2911,12099543.773590054,879,11613,2020-01-01,0.741,399001
45,Andaman and Nicobar,2020,4,north and middle andaman district,29349,68941322.38839513,7076,125915,2020-01-01,0.741,399001
46,Andaman and Nicobar,2020,4,south andaman district,186494,523122462.88302904,43908,725321,2020-01-01,0.741,399001
47,Andaman and Nicobar,2020,4,nicobars district,8688,35218871.04342849,1412,35972,2020-01-01,0.741,399001
48,Andaman and Nicobar,2022,1,north and middle andaman district,60059,161624878.52274162,10720,904869,2022-01-01,0.741,399001
49,Andaman and Nicobar,2022,1,south andaman district,705512,1872991195.902684,63487,2368756,2022-01-01,0.741,399001
50,Andaman and Nicobar,2022,1,nicobars district,29177,94414127.64974089,2081,573782,2022-01-01,0.741,399001
51,Bihar,2019,3,madhepura district,285255,739372428.9356571,99576,1649447,2019-01-01,0.574,128500364
52,Bihar,2019,3,purnia district,538629,1275466657.1881194,186139,3003347,2019-01-01,0.574,128500364
53,Bihar,2019,3,nalanda district,734808,1272371591.0222805,235028,3869133,2019-01-01,0.574,128500364
54,Bihar,2019,3,buxar district,233814,437029984.6037791,104713,1381138,2019-01-01,0.574,128500364
55,Bihar,2019,3,darbhanga district,802970,1893397261.6964977,262421,4450914,2019-01-01,0.574,128500364
56,Bihar,2019,3,nawada district,372689,810703742.8400731,123544,1773161,2019-01-01,0.574,128500364
57,Bihar,2019,3,jamui district,293099,629177159.6217788,92936,1426569,2019-01-01,0.574,128500364
58,Bihar,2019,3,sheikhpura district,74944,150326592.72004908,36997,457606,2019-01-01,0.574,128500364
59,Bihar,2019,3,siwan district,609065,1237987048.7848837,214406,3266902,2019-01-01,0.574,128500364
60,Bihar,2019,3,muzaffarpur district,1526447,2988596103.6486,396343,7217205,2019-01-01,0.574,128500364
61,Bihar,2019,3,patna district,13404838,29128507191.150093,1180262,25097249,2019-01-01,0.574,128500364
62,Bihar,2019,3,jehanabad district,215894,348008740.36042374,72795,1204601,2019-01-01,0.574,128500364
63,Bihar,2019,3,rohtas district,637472,1189129969.583943,220566,3486542,2019-01-01,0.574,128500364
64,Bihar,2019,3,begusarai district,486249,950089935.3528172,198672,2675356,2019-01-01,0.574,128500364
65,Bihar,2019,3,supaul district,303444,702060184.942025,113711,1835527,2019-01-01,0.574,128500364
66,Bihar,2019,3,sitamarhi district,515053,1195168691.4594162,174814,2904366,2019-01-01,0.574,128500364
67,Bihar,2019,3,saran district,768342,1481370486.8404396,260966,4250077,2019-01-01,0.574,128500364
68,Bihar,2019,3,arwal district,129870,205282509.15999573,40722,686243,2019-01-01,0.574,128500364
69,Bihar,2019,3,vaishali district,835929,1574270004.8935204,246527,4465824,2019-01-01,0.574,128500364
70,Bihar,2019,3,pashchim champaran district,794590,1810006586.8164406,256491,4618198,2019-01-01,0.574,128500364
71,Bihar,2019,3,gopalganj district,492551,1040012340.6442363,167773,2572232,2019-01-01,0.574,128500364
72,Bihar,2019,3,lakhisarai district,166181,301418673.57495433,64084,932887,2019-01-01,0.574,128500364
73,Bihar,2019,3,aurangabad district,489823,976700580.1242042,159363,2679481,2019-01-01,0.574,128500364
74,Bihar,2019,3,kaimur bhabua district,223817,430488298.6257053,85406,1268624,2019-01-01,0.574,128500364
75,Bihar,2019,3,araria district,337253,991970413.1173825,126320,1952983,2019-01-01,0.574,128500364
76,Bihar,2019,3,munger district,284046,462815661.3253856,106801,1540247,2019-01-01,0.574,128500364
77,Bihar,2019,3,katihar district,605697,1365069712.4779544,165027,3026054,2019-01-01,0.574,128500364
78,Bihar,2019,3,khagaria district,267467,508683169.77999467,90561,1428876,2019-01-01,0.574,128500364
79,Bihar,2019,3,saharsa district,364988,859959130.6399224,114827,2024957,2019-01-01,0.574,128500364
80,Bihar,2019,3,bhagalpur district,666207,1192702908.7899477,249214,3694374,2019-01-01,0.574,128500364
81,Bihar,2019,3,madhubani district,732727,1815165089.5718448,255761,4258979,2019-01-01,0.574,128500364
82,Bihar,2019,3,kishanganj district,212575,605260943.6339835,74150,1200959,2019-01-01,0.574,128500364
83,Bihar,2019,3,gaya district,1275920,1904955491.4095883,315649,5823758,2019-01-01,0.574,128500364
84,Bihar,2019,3,samastipur district,725863,1503897789.8705068,262875,4222865,2019-01-01,0.574,128500364
85,Bihar,2019,3,banka district,168148,282598675.188678,81845,1053657,2019-01-01,0.574,128500364
86,Bihar,2019,3,purbi champaran district,1028626,2348550130.6085625,330361,6045428,2019-01-01,0.574,128500364
87,Bihar,2019,3,sheohar district,83755,185572590.806138,28715,448740,2019-01-01,0.574,128500364
88,Bihar,2019,3,bhojpur district,450855,898638782.4700944,183904,2626792,2019-01-01,0.574,128500364
89,Bihar,2019,2,madhepura district,249723,707798711.0540556,88609,530739,2019-01-01,0.574,128500364
90,Bihar,2019,2,purnia district,430976,1078967975.3720567,163932,892348,2019-01-01,0.574,128500364
91,Bihar,2019,2,nalanda district,710450,1254625995.6495633,213733,1212543,2019-01-01,0.574,128500364
92,Bihar,2019,2,buxar district,231824,475000124.2031771,93771,493509,2019-01-01,0.574,128500364
93,Bihar,2019,2,darbhanga district,727675,1822608072.2658944,232722,1420641,2019-01-01,0.574,128500364
94,Bihar,2019,2,nawada district,348121,761867645.7594408,109523,581833,2019-01-01,0.574,128500364
95,Bihar,2019,2,jamui district,273377,595497429.4021461,82317,441606,2019-01-01,0.574,128500364
96,Bihar,2019,2,sheikhpura district,75522,150977914.76673275,33395,152708,2019-01-01,0.574,128500364
97,Bihar,2019,2,siwan district,533899,1255140385.2918577,187956,1155335,2019-01-01,0.574,128500364
98,Bihar,2019,2,muzaffarpur district,1260648,2730311714.0709352,353459,2236848,2019-01-01,0.574,128500364
99,Bihar,2019,2,patna district,13421445,26125484618.416542,1076012,7177148,2019-01-01,0.574,128500364
100,Bihar,2019,2,jehanabad district,209202,370093501.8179393,65200,393786,2019-01-01,0.574,128500364
101,Bihar,2019,2,rohtas district,659316,1290203427.3036072,199401,1187844,2019-01-01,0.574,128500364
102,Bihar,2019,2,begusarai district,420369,861135419.9108713,177158,862354,2019-01-01,0.574,128500364
103,Bihar,2019,2,supaul district,261835,621350641.7630955,100872,561171,2019-01-01,0.574,128500364
104,Bihar,2019,2,sitamarhi district,464001,1054440854.8730336,153456,899841,2019-01-01,0.574,128500364
105,Bihar,2019,2,saran district,660816,1511533675.480116,230068,1466538,2019-01-01,0.574,128500364
106,Bihar,2019,2,arwal district,127961,228089174.50087914,36841,225510,2019-01-01,0.574,128500364
107,Bihar,2019,2,vaishali district,706255,1503710719.585722,218205,1414165,2019-01-01,0.574,128500364
108,Bihar,2019,2,pashchim champaran district,754956,1807646307.2005067,227901,1471945,2019-01-01,0.574,128500364
109,Bihar,2019,2,gopalganj district,419736,1042999794.7640297,147102,868936,2019-01-01,0.574,128500364
110,Bihar,2019,2,lakhisarai district,140776,288144511.1409709,57386,292347,2019-01-01,0.574,128500364
111,Bihar,2019,2,aurangabad district,466316,1028918812.5797844,143325,880786,2019-01-01,0.574,128500364
112,Bihar,2019,2,kaimur bhabua district,233890,502827065.787676,76908,450417,2019-01-01,0.574,128500364
113,Bihar,2019,2,araria district,275976,848688675.9117857,110811,590730,2019-01-01,0.574,128500364
114,Bihar,2019,2,munger district,225552,434455542.9933263,96444,475070,2019-01-01,0.574,128500364
115,Bihar,2019,2,katihar district,500894,1262216431.7638469,145150,921533,2019-01-01,0.574,128500364
116,Bihar,2019,2,khagaria district,211775,474324786.2517421,80553,456066,2019-01-01,0.574,128500364
117,Bihar,2019,2,saharsa district,309217,777991635.3881919,102025,640510,2019-01-01,0.574,128500364
118,Bihar,2019,2,bhagalpur district,615040,1150904188.2353368,223725,1182355,2019-01-01,0.574,128500364
119,Bihar,2019,2,madhubani district,689839,1830248520.9448543,226202,1405773,2019-01-01,0.574,128500364
120,Bihar,2019,2,kishanganj district,172899,551086091.1205673,64416,355348,2019-01-01,0.574,128500364
121,Bihar,2019,2,gaya district,919937,1718017778.563915,281107,1670802,2019-01-01,0.574,128500364
122,Bihar,2019,2,samastipur district,659872,1446039768.462154,234046,1381196,2019-01-01,0.574,128500364
123,Bihar,2019,2,banka district,149782,265207653.10207573,72748,328378,2019-01-01,0.574,128500364
124,Bihar,2019,2,purbi champaran district,937122,2207821269.5337534,292711,1903455,2019-01-01,0.574,128500364
125,Bihar,2019,2,sheohar district,77989,173885487.06595796,25323,142182,2019-01-01,0.574,128500364
126,Bihar,2019,2,bhojpur district,425496,922175961.2433462,165246,882726,2019-01-01,0.574,128500364
127,Bihar,2019,1,madhepura district,264883,576254457.2110447,75876,0,2019-01-01,0.574,128500364
128,Bihar,2019,1,purnia district,432736,880288859.2093347,141631,0,2019-01-01,0.574,128500364
129,Bihar,2019,1,nalanda district,946010,1077003028.9911158,189924,0,2019-01-01,0.574,128500364
130,Bihar,2019,1,buxar district,269395,400579206.461272,81116,0,2019-01-01,0.574,128500364
131,Bihar,2019,1,darbhanga district,763583,1448771357.5992444,202521,0,2019-01-01,0.574,128500364
132,Bihar,2019,1,nawada district,358636,558537691.0189606,94644,0,2019-01-01,0.574,128500364
133,Bihar,2019,1,jamui district,254802,390616872.39251614,70521,0,2019-01-01,0.574,128500364
134,Bihar,2019,1,sheikhpura district,84957,128265941.33214259,29154,0,2019-01-01,0.574,128500364
135,Bihar,2019,1,siwan district,551354,1022001680.3459771,160063,0,2019-01-01,0.574,128500364
136,Bihar,2019,1,muzaffarpur district,1262299,2061506662.05161,309416,0,2019-01-01,0.574,128500364
137,Bihar,2019,1,patna district,7894598,11217940482.124462,964432,0,2019-01-01,0.574,128500364
138,Bihar,2019,1,jehanabad district,281786,306816678.8817686,56497,0,2019-01-01,0.574,128500364
139,Bihar,2019,1,rohtas district,879724,1104230103.111794,174877,0,2019-01-01,0.574,128500364
140,Bihar,2019,1,begusarai district,456148,695166454.2759526,155497,0,2019-01-01,0.574,128500364
141,Bihar,2019,1,supaul district,291495,551617489.0466162,86568,0,2019-01-01,0.574,128500364
142,Bihar,2019,1,sitamarhi district,511026,830161563.2363641,132501,0,2019-01-01,0.574,128500364
143,Bihar,2019,1,saran district,688941,1194323043.6722207,197928,0,2019-01-01,0.574,128500364
144,Bihar,2019,1,arwal district,166197,181951883.21584406,32098,0,2019-01-01,0.574,128500364
145,Bihar,2019,1,vaishali district,749004,1174950625.584596,189344,0,2019-01-01,0.574,128500364
146,Bihar,2019,1,pashchim champaran district,938338,1627339576.7365215,197074,0,2019-01-01,0.574,128500364
147,Bihar,2019,1,gopalganj district,436537,840103896.7641628,125180,0,2019-01-01,0.574,128500364
148,Bihar,2019,1,lakhisarai district,172050,249104102.7771268,50294,0,2019-01-01,0.574,128500364
149,Bihar,2019,1,aurangabad district,568106,821609333.8419166,123845,0,2019-01-01,0.574,128500364
150,Bihar,2019,1,kaimur bhabua district,286810,419488028.47224784,66307,0,2019-01-01,0.574,128500364
151,Bihar,2019,1,araria district,303436,771182123.8666478,95297,0,2019-01-01,0.574,128500364
152,Bihar,2019,1,munger district,244480,359390718.44058144,84548,0,2019-01-01,0.574,128500364
153,Bihar,2019,1,katihar district,545240,978868951.5512419,124680,0,2019-01-01,0.574,128500364
154,Bihar,2019,1,khagaria district,227052,388654881.1122888,70139,0,2019-01-01,0.574,128500364
155,Bihar,2019,1,saharsa district,325350,701328047.2284671,88171,0,2019-01-01,0.574,128500364
156,Bihar,2019,1,bhagalpur district,669334,944495875.5771751,195057,0,2019-01-01,0.574,128500364
157,Bihar,2019,1,madhubani district,725008,1443743324.5058935,195036,0,2019-01-01,0.574,128500364
158,Bihar,2019,1,kishanganj district,172840,475097517.17226803,54620,0,2019-01-01,0.574,128500364
159,Bihar,2019,1,gaya district,1025084,1460009336.4335551,245773,0,2019-01-01,0.574,128500364
160,Bihar,2019,1,samastipur district,792952,1239854737.091689,204544,0,2019-01-01,0.574,128500364
161,Bihar,2019,1,banka district,183133,217589903.45217943,62041,0,2019-01-01,0.574,128500364
162,Bihar,2019,1,purbi champaran district,1069790,1856147556.1115208,252394,0,2019-01-01,0.574,128500364
163,Bihar,2019,1,sheohar district,93729,142778197.8470657,21941,0,2019-01-01,0.574,128500364
164,Bihar,2019,1,bhojpur district,469391,765057325.7810102,143568,0,2019-01-01,0.574,128500364
165,Bihar,2019,4,madhepura district,395526,1113340860.7079191,114427,2217559,2019-01-01,0.574,128500364
166,Bihar,2019,4,purnia district,735598,1873193948.3384633,212909,3879038,2019-01-01,0.574,128500364
167,Bihar,2019,4,nalanda district,1426896,1803708280.7329946,264967,6199933,2019-01-01,0.574,128500364
168,Bihar,2019,4,buxar district,361937,672103503.3652604,118875,1990129,2019-01-01,0.574,128500364
169,Bihar,2019,4,darbhanga district,1059279,2585981569.648556,296008,5548769,2019-01-01,0.574,128500364
170,Bihar,2019,4,nawada district,547595,1167043567.0386097,141869,2563407,2019-01-01,0.574,128500364
171,Bihar,2019,4,jamui district,407483,905118756.0069449,107471,2058854,2019-01-01,0.574,128500364
172,Bihar,2019,4,sheikhpura district,124377,225016146.85776988,42414,681241,2019-01-01,0.574,128500364
173,Bihar,2019,4,siwan district,865806,1926229486.784398,246717,4514176,2019-01-01,0.574,128500364
174,Bihar,2019,4,muzaffarpur district,1900732,4136536726.049083,445815,8979776,2019-01-01,0.574,128500364
175,Bihar,2019,4,patna district,17235243,37707384360.64211,1289426,28136743,2019-01-01,0.574,128500364
176,Bihar,2019,4,jehanabad district,343084,501279185.202929,82385,1679688,2019-01-01,0.574,128500364
177,Bihar,2019,4,rohtas district,1129246,1764430308.22368,249302,5302856,2019-01-01,0.574,128500364
178,Bihar,2019,4,begusarai district,687513,1400383169.425959,225155,3614698,2019-01-01,0.574,128500364
179,Bihar,2019,4,supaul district,418643,1026480093.4582664,131141,2437455,2019-01-01,0.574,128500364
180,Bihar,2019,4,sitamarhi district,686989,1556217974.3147388,198607,3656303,2019-01-01,0.574,128500364
181,Bihar,2019,4,saran district,1039542,2265346427.1538324,297022,5732765,2019-01-01,0.574,128500364
182,Bihar,2019,4,arwal district,207671,302520117.75814235,46308,1039140,2019-01-01,0.574,128500364
183,Bihar,2019,4,vaishali district,1092261,2283531751.166889,279301,5797650,2019-01-01,0.574,128500364
184,Bihar,2019,4,pashchim champaran district,1130965,2726720273.8232546,293867,6206175,2019-01-01,0.574,128500364
185,Bihar,2019,4,gopalganj district,650123,1570634885.793627,193606,3437139,2019-01-01,0.574,128500364
186,Bihar,2019,4,lakhisarai district,254456,472346955.58384544,72450,1364086,2019-01-01,0.574,128500364
187,Bihar,2019,4,aurangabad district,751614,1434726640.8045695,181920,3912616,2019-01-01,0.574,128500364
188,Bihar,2019,4,kaimur bhabua district,333727,644719192.0442938,98191,1775789,2019-01-01,0.574,128500364
189,Bihar,2019,4,araria district,462746,1410655861.4663773,146219,2515080,2019-01-01,0.574,128500364
190,Bihar,2019,4,munger district,353666,657222418.8557158,119068,1891588,2019-01-01,0.574,128500364
191,Bihar,2019,4,katihar district,772131,1876729627.3924623,188454,3793418,2019-01-01,0.574,128500364
192,Bihar,2019,4,khagaria district,344043,784039610.1579978,102752,1853242,2019-01-01,0.574,128500364
193,Bihar,2019,4,saharsa district,495346,1211669206.613337,130556,2638156,2019-01-01,0.574,128500364
194,Bihar,2019,4,bhagalpur district,914156,1720136935.858829,279580,4685008,2019-01-01,0.574,128500364
195,Bihar,2019,4,madhubani district,1038907,2655204864.3952923,291613,5699396,2019-01-01,0.574,128500364
196,Bihar,2019,4,kishanganj district,279243,840550915.1521785,85906,1482740,2019-01-01,0.574,128500364
197,Bihar,2019,4,gaya district,1627240,2505031784.840474,356225,7476235,2019-01-01,0.574,128500364
198,Bihar,2019,4,samastipur district,995634,2217497573.696613,297942,5514034,2019-01-01,0.574,128500364
199,Bihar,2019,4,banka district,241765,424522416.1546266,94744,1436818,2019-01-01,0.574,128500364
200,Bihar,2019,4,purbi champaran district,1432859,3375935181.6552954,378861,8038569,2019-01-01,0.574,128500364
201,Bihar,2019,4,sheohar district,120327,266342849.81168464,32947,616145,2019-01-01,0.574,128500364
202,Bihar,2019,4,bhojpur district,665945,1302893150.8321266,207254,3631683,2019-01-01,0.574,128500364
203,Bihar,2021,3,madhepura district,2034018,5500029849.280424,244216,7179146,2021-01-01,0.574,128500364
204,Bihar,2021,3,purnia district,4826016,11168325427.92741,440447,14245246,2021-01-01,0.574,128500364
205,Bihar,2021,3,nalanda district,3381075,7437410612.103645,492998,10964467,2021-01-01,0.574,128500364
206,Bihar,2021,3,buxar district,1331392,3166266892.788152,230171,5045192,2021-01-01,0.574,128500364
207,Bihar,2021,3,darbhanga district,5791524,12557911471.466785,586251,15207842,2021-01-01,0.574,128500364
208,Bihar,2021,3,nawada district,2139002,5233101106.18405,286524,8022119,2021-01-01,0.574,128500364
209,Bihar,2021,3,jamui district,1679182,3769910510.8587055,219468,8355425,2021-01-01,0.574,128500364
210,Bihar,2021,3,sheikhpura district,463143,1178457856.4269738,83526,1880309,2021-01-01,0.574,128500364
211,Bihar,2021,3,siwan district,6975763,14555326812.652782,514727,12380428,2021-01-01,0.574,128500364
212,Bihar,2021,3,muzaffarpur district,8663460,19088505213.98187,842701,20014713,2021-01-01,0.574,128500364
213,Bihar,2021,3,patna district,65085179,120377977089.17227,2156402,43378051,2021-01-01,0.574,128500364
214,Bihar,2021,3,jehanabad district,1195445,3015464945.8990297,158603,4051354,2021-01-01,0.574,128500364
215,Bihar,2021,3,rohtas district,3409156,7988380311.967452,468953,12405207,2021-01-01,0.574,128500364
216,Bihar,2021,3,begusarai district,3382669,7023004546.171783,432035,10042118,2021-01-01,0.574,128500364
217,Bihar,2021,3,supaul district,2247423,5797237916.379904,273337,8972152,2021-01-01,0.574,128500364
218,Bihar,2021,3,sitamarhi district,3071280,7538949774.601155,402641,9677557,2021-01-01,0.574,128500364
219,Bihar,2021,3,saran district,4909074,10653230755.208591,588276,13924564,2021-01-01,0.574,128500364
220,Bihar,2021,3,arwal district,655254,1419881953.6996727,88938,2204921,2021-01-01,0.574,128500364
221,Bihar,2021,3,vaishali district,4483512,10019125517.53304,536933,12338903,2021-01-01,0.574,128500364
222,Bihar,2021,3,pashchim champaran district,5626291,12052580759.045248,602251,19035099,2021-01-01,0.574,128500364
223,Bihar,2021,3,gopalganj district,3591809,7691691799.830381,402719,10121489,2021-01-01,0.574,128500364
224,Bihar,2021,3,lakhisarai district,944664,2099202462.5685425,136992,3739789,2021-01-01,0.574,128500364
225,Bihar,2021,3,aurangabad district,2970923,6528699841.273426,353208,11946834,2021-01-01,0.574,128500364
226,Bihar,2021,3,kaimur bhabua district,1218238,2858892134.9313626,193984,5797640,2021-01-01,0.574,128500364
227,Bihar,2021,3,araria district,2813200,7222773479.316949,322491,11108346,2021-01-01,0.574,128500364
228,Bihar,2021,3,munger district,1519400,3211090932.1408405,219691,4667697,2021-01-01,0.574,128500364
229,Bihar,2021,3,katihar district,3783324,9267765709.686602,382183,12315161,2021-01-01,0.574,128500364
230,Bihar,2021,3,khagaria district,1706354,4317169777.008783,208396,6552258,2021-01-01,0.574,128500364
231,Bihar,2021,3,saharsa district,2350666,5488205886.705009,263226,8287766,2021-01-01,0.574,128500364
232,Bihar,2021,3,bhagalpur district,6299248,12979510129.599648,534600,11361635,2021-01-01,0.574,128500364
233,Bihar,2021,3,madhubani district,5236281,11442243635.127466,587337,16079472,2021-01-01,0.574,128500364
234,Bihar,2021,3,kishanganj district,1562190,4550836950.242286,188986,6967804,2021-01-01,0.574,128500364
235,Bihar,2021,3,gaya district,5929649,12593071265.983114,673356,20242649,2021-01-01,0.574,128500364
236,Bihar,2021,3,samastipur district,4742581,10599568038.20213,586990,13912525,2021-01-01,0.574,128500364
237,Bihar,2021,3,banka district,1086496,2393088091.4975886,201221,6967924,2021-01-01,0.574,128500364
238,Bihar,2021,3,purbi champaran district,7528149,17061553144.485746,794120,22500338,2021-01-01,0.574,128500364
239,Bihar,2021,3,sheohar district,590061,1494759528.4819276,68582,1866229,2021-01-01,0.574,128500364
240,Bihar,2021,3,bhojpur district,2448022,5721558825.98047,393291,8041010,2021-01-01,0.574,128500364
241,Bihar,2021,2,madhepura district,1684296,5218255019.009192,225631,6098073,2021-01-01,0.574,128500364
242,Bihar,2021,2,purnia district,3753134,10051174945.968401,407327,11452485,2021-01-01,0.574,128500364
243,Bihar,2021,2,nalanda district,2876066,6967154493.828712,457143,9781814,2021-01-01,0.574,128500364
244,Bihar,2021,2,buxar district,1252195,3456834620.013396,212916,4884682,2021-01-01,0.574,128500364
245,Bihar,2021,2,darbhanga district,4739297,11767784404.765148,543496,13535399,2021-01-01,0.574,128500364
246,Bihar,2021,2,nawada district,1911948,5050993065.48583,264993,7631616,2021-01-01,0.574,128500364
247,Bihar,2021,2,jamui district,1521567,3812688721.112037,202627,7604897,2021-01-01,0.574,128500364
248,Bihar,2021,2,sheikhpura district,427755,1154376779.108221,77323,1765795,2021-01-01,0.574,128500364
249,Bihar,2021,2,siwan district,4705097,11418849549.141575,476870,11554566,2021-01-01,0.574,128500364
250,Bihar,2021,2,muzaffarpur district,6872504,17019791090.77851,781251,17402981,2021-01-01,0.574,128500364
251,Bihar,2021,2,patna district,53400850,114936398151.99364,2010353,31047869,2021-01-01,0.574,128500364
252,Bihar,2021,2,jehanabad district,995035,2626018955.1267185,147027,3636758,2021-01-01,0.574,128500364
253,Bihar,2021,2,rohtas district,3001706,8146321797.816346,433856,11238005,2021-01-01,0.574,128500364
254,Bihar,2021,2,begusarai district,2745981,6263183535.487119,400750,8533638,2021-01-01,0.574,128500364
255,Bihar,2021,2,supaul district,1834979,5320160534.73731,252844,7689997,2021-01-01,0.574,128500364
256,Bihar,2021,2,sitamarhi district,2697354,7205555125.010963,372211,9148788,2021-01-01,0.574,128500364
257,Bihar,2021,2,saran district,4392087,10815034968.865551,544975,13189206,2021-01-01,0.574,128500364
258,Bihar,2021,2,arwal district,605677,1539697265.4617,82232,2240595,2021-01-01,0.574,128500364
259,Bihar,2021,2,vaishali district,3799946,9160292752.674015,497933,11209569,2021-01-01,0.574,128500364
260,Bihar,2021,2,pashchim champaran district,4672176,11234841877.680365,556408,17174254,2021-01-01,0.574,128500364
261,Bihar,2021,2,gopalganj district,3111515,7589526482.70171,372691,9392913,2021-01-01,0.574,128500364
262,Bihar,2021,2,lakhisarai district,840880,2158341954.8132935,126770,3347282,2021-01-01,0.574,128500364
263,Bihar,2021,2,aurangabad district,2708735,6989875839.547192,326548,11429194,2021-01-01,0.574,128500364
264,Bihar,2021,2,kaimur bhabua district,1150340,3095159551.478701,179008,5583876,2021-01-01,0.574,128500364
265,Bihar,2021,2,araria district,2293469,6805583750.251827,297709,9439160,2021-01-01,0.574,128500364
266,Bihar,2021,2,munger district,1320520,3058878685.2649517,203824,4191352,2021-01-01,0.574,128500364
