date,state,count,amount,registeredUsers,date_id
2018-04-01,1,2756521,5800243108.19011,460446,90
2018-04-01,2,1307883,2621298968.1392374,526343,90
2018-04-01,3,4887137,10781982573.649637,1865715,90
2018-04-01,4,905116,2032591591.779975,177747,90
2018-04-01,5,3178761,5654272137.9638605,1012103,90
2018-04-01,6,12950183,25390876016.455875,3793079,90
2018-04-01,7,29187719,39722857618.706406,4630313,90
2018-04-01,8,20959723,37909087083.33916,6358738,90
2018-04-01,9,36100767,55096743575.91992,10341964,90
2018-04-01,10,15732401,28397997168.57796,4776665,90
2018-04-01,11,154533,383141358.0782537,48538,90
2018-04-01,12,176429,504040029.09175974,61852,90
2018-04-01,13,139333,388013467.5456229,42997,90
2018-04-01,14,236110,605683559.3060097,82589,90
2018-04-01,15,55242,190426852.52952963,19365,90
2018-04-01,16,448059,624885599.4644458,153265,90
2018-04-01,17,161132,337585679.0046727,49634,90
2018-04-01,18,3734172,5888022859.0130625,1039221,90
2018-04-01,19,36513548,40489619211.704765,6279278,90
2018-04-01,20,6284043,10241916641.122263,1913949,90
2018-04-01,21,21142798,23429869571.56183,3623911,90
2018-04-01,22,5365844,9416412664.971338,1579998,90
2018-04-01,23,21397555,33905608072.968174,5365442,90
2018-04-01,24,14733303,24830987102.782555,5579040,90
2018-04-01,25,404082,658750616.8008868,116511,90
2018-04-01,27,46090223,79518937047.83649,13381602,90
2018-04-01,28,30759548,51473779406.84181,6857409,90
2018-04-01,29,44812071,73008386576.0722,8315802,90
2018-04-01,30,514755,1153005078.9224048,195350,90
2018-04-01,31,1642,4463213.698222831,1156,90
2018-04-01,32,4310654,7747361236.812361,1757326,90
2018-04-01,33,22457444,43302073975.89536,5199878,90
2018-04-01,34,307964,625691665.4234949,109494,90
2018-04-01,35,23758,90548336.07445517,15222,90
2019-01-01,0,65290702,95523262035.66658,7963425,365
2019-01-01,1,3631132,6104695397.4700985,560318,365
2019-01-01,2,2168718,3381481442.991052,653205,365
2019-01-01,3,7172137,13574490001.853004,2226590,365
2019-01-01,4,1274476,2396032050.444029,209175,365
2019-01-01,5,5546001,7183529175.273893,1224955,365
2019-01-01,6,22135775,34051655721.63202,4538767,365
2019-01-01,7,47007327,58469131789.497215,5499263,365
